Area,ID,Title,Basic Criteria,Additional Criteria,"Supplementary Information -
About the Criteria","Supplementary Information -
Complementary Customer Criteria","Supplementary Information -
Notes on Continuous Auditing - Feasibility","Supplementary Information -
Notes on Continuous Auditing"
Identity and Access Management (IDM),IDM-08,Confidentiality of authentication information,"The allocation of authentication information to access system components used to provide the cloud service to internal and external users of the cloud provider and system components that are involved in automated authorisation processes of the cloud provider is done in an orderly manner that ensures the confidentiality of the information. If passwords are used as authentication information, their confidentiality is ensured by the following procedures, as far as technically possible: 

- Users can initially create the password themselves or must change an initial password when logging on to the system component for the first time. An initial password loses its validity after a maximum of 14 days.

- When creating passwords, compliance with the password specifications (cf. IDM-09) is enforced as far as technically possible.

- The user is informed about changing or resetting the password.

- The server-side storage takes place using cryptographically strong hash functions.

Deviations are evaluated by means of a risk analysis and mitigating measures derived from this are implemented.",The users sign a declaration in which they assure that they treat personal (or shared) authentication information confidentially and keep it exclusively for themselves (within the members of the group).,"Argon2i, for example, is suitable for using a password hash function.

Insofar as this is legally binding, declarations can be signed using an electronic signature.",,yes,"If the implementation is enforced by appropriate system configuration (automated control), the status or the last change of the configuration can be checked regularly."
Identity and Access Management (IDM),IDM-09,Authentication mechanisms,"System components in the Cloud Service Provider's area of responsibility that are used to provide the cloud service, authenticate users of the Cloud Service Provider's internal and external employees as well as system components that are involved in the Cloud Service Provider's automated authorisation processes. Access to the production environment requires two-factor or multi-factor authentication. Within the production environment, user authentication takes place through passwords, digitally signed certificates or procedures that achieve at least an equivalent level of security. If digitally signed certificates are used, administration is carried out in accordance with the Guideline for Key Management (cf. CRY-01). The password requirements are derived from a risk assessment and documented, communicated and provided in a password policy according to SP-01. Compliance with the requirements is enforced by the configuration of the system components, as far as technically possible.","Access to the non-production environment requires two-factor or multi-factor authentication. Within the non-production environment, users are authenticated using passwords, digitally signed certificates, or procedures that provide at least an equivalent level of security.",,,yes,"If the implementation is enforced by appropriate system configuration (automated control), the status of the configuration or its last change can be checked regularly."
Cryptography and Key Management (CRY),CRY-01,Policy for the use of encryption procedures and key management,"Policies and instructions with technical and organisational safeguards for encryption procedures and key management are documented, communicated and provided according to SP-01, in which the following aspects are described:

- Usage of strong encryption procedures and secure network protocols that correspond to the state-of-the-art;

- Risk-based provisions for the use of encryption which are aligned with the information classification schemes (cf. AM-06) and consider the communication channel, type, strength and quality of the encryption;

- Requirements for the secure generation, storage, archiving, retrieval, distribution, withdrawal and deletion of the keys; and 

- Consideration of relevant legal and regulatory obligations and requirements.",,"The state-of-the-art of strong encryption procedures and secure network protocols is specified in the following BSI Technical Guidelines valid at the given time: 

- BSI TR-02102-1 Cryptographic Mechanisms: Recommendations and Key Lengths;

- BSI TR-02102-2 Cryptographic Mechanisms: Use of Transport Layer Security (TLS);

- BSI TR-02102-3 Cryptographic Mechanisms: Use of Internet Protocol Security (IPSec) and Internet Key Exchange (IKEv2); and

- BSI TR-02102-4 Cryptographic Mechanisms: Use of Secure Shell (SSH).",,partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Cryptography and Key Management (CRY),CRY-02,Encryption of data for transmission (transport encryption),The Cloud Service Provider has established procedures and technical measures for strong encryption and authentication for the transmission of data of cloud customers over public networks.,The Cloud Service Provider has established procedures and technical measures for strong encryption and authentication for the transmission of all data.,"When transmitting data with normal protection requirements within the Cloud Service Provider’s infrastructure, encryption is not mandatory provided that the data is not transmitted via public networks. In this case, the non-public environment of the Cloud Service Provider can generally be deemed trusted. The protocols TLS 1.2 and TLS 1.3 are currently regarded as strong, state-of-the-art transport encryptions, in each case in combination with Perfect Forward Secrecy. The specific configuration should comply with the recommendations of the (current) version of the BSI Technical Guideline TR-02102-2 ""Cryptographic Procedures: Recommendations and key lengths. Part 2 - Use of Transport Layer Security (TLS)"". Generally, the use of wildcard certificates is not considered a secure procedure.

The basic criterion for the transmission cloud customers' data, relates to e.g. the sending of electronic messages via public networks.","Cloud customers ensure through suitable controls for those parts of the cloud service under their responsibility, that their data is transmitted over encrypted connections in accordance with the respective protection requirements.",partially,"The procedures and technical measures for encrypting data during transmission are configured centrally. This configuration rarely changes. Therefore, a continuous audit would not be sensible, as only changes to this configuration would have to be checked. However, the system status can be audited continuously. This also applies to the additional criterion."
Cryptography and Key Management (CRY),CRY-03,Encryption of sensitive data for storage,"The Cloud Service Provider has established procedures and technical safeguards to encrypt cloud customers' data during storage. The private keys used for encryption are known only to the cloud customer in accordance with applicable legal and regulatory obligations and requirements. Exceptions follow a specified procedure. The procedures for the use of private keys, including any exceptions, must be contractually agreed with the cloud customer.",The private keys used for encryption are known to the customer exclusively and without exception in accordance with applicable legal and regulatory obligations and requirements.,"An exception to the requirement that keys are known only to the cloud customers may be the use of a master key by the Cloud Service Provider. If the Cloud Service Provider established a procedure to use a master key, the Cloud Service Provider must perform sample-based checks regarding the suitability and effectiveness of the procedure, on a regular basis. This criterion does not apply to data that cannot be encrypted for the provision of the cloud service for functional reasons.","Cloud customers ensure through suitable controls for those parts of the cloud service under their responsibility (e. g. virtual machines within an IaaS solution), that their data is encrypted during storage in accordance with the respective protection requirements.",partially,"The encryption of data of cloud customers is configured centrally; therefore, it is only suitable for continuous auditing to a limited extent. Exceptions to the encryption of data according to a specified procedure and the coordination of this with cloud customers should be documented and approved. This, too, is only suitable to a limited extent for continuous auditing, as these exceptions are decided on a case-by-case basis and do not occur at a high enough frequency. In a continuous audit, the system status can be queried to determine whether the encryption is active and whether the approved exceptions are being adhered to."
Cryptography and Key Management (CRY),CRY-04,Secure key management,"Procedures and technical safeguards for secure key management in the area of responsibility of the Cloud Service Provider include at least the following aspects: 

- Generation of keys for different cryptographic systems and applications;

- Issuing and obtaining public-key certificates;

- Provisioning and activation of the keys;

- Secure storage of keys (separation of key management system from application and middleware level) including description of how authorised users get access;

- Changing or updating cryptographic keys including policies defining under which conditions and in which manner the changes and/or updates are to be realised;

- Handling of compromised keys; 

- Withdrawal and deletion of keys; and 

- If pre-shared keys are used, the specific provisions relating to the safe use of this procedure are specified separately.",,Keys should be withdrawn or deleted e.g. in the event of compromise or employee changes. The Cloud Service Provider protects the keys which are created and inserted into the cloud service by the cloud customers according to the same criteria as the keys created by the Cloud Service Provider.,,partially,"For procedures and technical measures for key management to take into account the required aspects, these aspects must be implemented in the corresponding configuration. These configurations are rarely changed and only these changes would have to be audited continuously. However, the system status could be reviewed and, in the event of irregularities, indicated and documented."
Communication Security (COS),COS-01,Technical safeguards,"Based on the results of a risk analysis carried out according to OIS-06, the Cloud Service Provider has implemented technical safeguards which are suitable to promptly detect and respond to network-based attacks on the basis of irregular incoming or outgoing traffic patterns and/or Distributed Denial- of-Service (DDoS) attacks. Data from corresponding technical protection measures implemented is fed into a comprehensive SIEM (Security Information and Event Management) system, so that (counter) measures regarding correlating events can be initiated. The safeguards are documented, communicated and provided in accordance with SP-01.",Technical measures ensure that no unknown (physical or virtual) devices join the Cloud Service Provider's (physical or virtual) network (e.g. MACSec according to IEEE 802.1X:2010). ,Network-based attacks can be conducted e.g. with MAC spoofing and ARP poisoning attacks. Technical measures to prevent unknown physical or virtual devices from joining a physical or virtual network can be based on e.g. MACSec according to IEEE 802.1X:2010. ,"Cloud customers ensure through suitable controls for parts of the cloud service under their responsibility (e.g. virtual machines within an IaaS solution), that they detect and respond to network-based attacks based on anomalous inbound and outbound traffic patterns (e.g. MAC spoofing and ARP poisoning attacks) and/or Distributed Denial of Service (DDoS), in a timely manner.",yes,"The technical protective measures are suitable for continuous auditing, but are rarely changed. However, the data fed into the overall SIEM system and the detection of correlating events are suitable for continuous auditing. This data can be evaluated automatically and continuously, as can the monitoring of correlating events."
Communication Security (COS),COS-02,Security requirements for connections in the Cloud Service Provider's network,"Specific security requirements are designed, published and provided for establishing connections within the Cloud Service Provider's network. The security requirements define for the Cloud Service Provider's area of responsibility: 

- in which cases the security zones are to be separated and in which cases cloud customers are to be logically or physically segregated;

- which communication relationships and which network and application protocols are permitted in each case;

- how the data traffic for administration and monitoring is segregated from each on network level;

- which internal, cross-location communication is permitted and;

- which cross-network communication is allowed",,"Cross-location communication can be realised for e.g. individual regions or data centres via e.g. WAN, LAN, VPN, RAS. ",,no,The required security requirements are centrally documented and rarely changed. Continuous auditing is not practical.
Communication Security (COS),COS-03,Monitoring of connections in the Cloud Service Provider's network,"A distinction is made between trusted and untrusted networks. Based on a risk assessment, these are separated into different security zones for internal and external network areas (and DMZ, if applicable). Physical and virtualised network environments are designed and configured to restrict and monitor the established connection to trusted or untrusted networks according to the defined security requirements.

The entirety of the conception and configuration undertaken to monitor the connections mentioned is assessed in a risk-oriented manner, at least annually, with regard to the resulting security requirements.

Identified vulnerabilities and deviations are subject to risk assessment in accordance with the risk management procedure (cf. OIS-06) and follow-up measures are defined and tracked (cf. OPS-18).

At specified intervals, the business justification for using all services, protocols, and ports is reviewed. The review also includes the justifications for compensatory measures for the use of protocols that are considered insecure.",,"The review of the security requirements depends on the measures implemented to design the networks. For example, monitoring and reviewing firewall rules or log files for abnormalities, as well as visual inspections of physical network components for changes.","Cloud customers ensure through suitable controls that the virtual networks within the cloud service for which they are responsible are designed, configured and documented in accordance with their network security requirements (e.g. logical segmentation of the cloud customer's organisational units).",yes,"If the business justification and the regular review of the monitoring concept are documented in a standardised way, these processes can be evaluated automatically. Thus, a continuous audit can be conducted. The separation of the networks is suitable for continuous auditing as well, since the status of the separation can be continuously audited here."
Communication Security (COS),COS-04,Cross-network access,Each network perimeter is controlled by security gateways. The system access authorisation for cross-network access is based on a security assessment based on the requirements of the cloud customers.,Each network perimeter is controlled by redundant and highly-available security gateways.,Cross-network access is access from one network to another network via a defined network perimeter.,Cloud customers ensure through suitable controls that access is controlled according to their protection needs by security gateways on the perimeters of the virtual networks within the cloud service for which they are responsible.,yes,"If the control of the network perimeters is documented (e.g. by logs), these logs can be evaluated automatically. This offers the possibility of a continuous audit for this part of the criterion. If the security evaluation for access authorisations is carried out in a standardised form at the Cloud Service Provider, this can also be evaluated automatically. In this case, a continuous audit for the second part of the criterion would also be possible."
Communication Security (COS),COS-05,Networks for administration,There are separate networks for the administrative management of the infrastructure and for the operation of management consoles. These networks are logically or physically separated from the cloud customer's network and protected from unauthorised access by multi-factor authentication (cf. IDM-09). Networks used by the Cloud Service Provider to migrate or create virtual machines are also physically or logically separated from other networks,,,,no,"A continuous audit is not practical since infrastructure components and the logical and physical separation of the networks are implemented initially and a continuous audit of these components may require a system status, but it is difficult to test all aspects continuously."
Communication Security (COS),COS-06,Segregation of data traffic in jointly used network environments,Data traffic of cloud customers in jointly used network environments is segregated on network level according to a documented concept to ensure the confidentiality and integrity of the data transmitted.,"In the case of IaaS/PaaS, the secure segregation is ensured by physically separated networks or by means of strongly encrypted VLANs. For the definition of strong encryption, the BSI Technical Guideline TR-02102 must be considered.","If the suitability and effectiveness of the logical segmentation cannot be assessed with sufficient certainty (e.g. due to a complex implementation), evidence can also be provided based on audit results of expert third parties (e.g. security audits to validate the concept). The segregation of stored and processed data is subject of the criterion OPS-24. After successful authentication via an insecure communication channel (HTTP), a secure communication channel (HTTPS) is to be used. 

With IaaS/PaaS, secure segregation is ensured by physically separated networks or strong encryption of the networks. For the definition of strong encryption, the BSI Technical Guideline TR-02102 must be considered (cf. CRY-01). 

If the Cloud Service Provider does not use shared network environments for cloud customers and instead uses a physical segregation, the basic criterion is not applicable.","Cloud customers ensure through suitable controls for those parts of the cloud service under their responsibility that virtual networks are designed, configured and documented in accordance with their network security requirements (e.g. logical segmentation of organizational units).",no,"The logical segregation of cloud customer network traffic at the network level is centrally configured and rarely changed. Thus, a continuous audit is not beneficial, since no highly frequented automated query can be performed to support the continuous audit."
Communication Security (COS),COS-07,Documentation of the network topology,"The documentation of the logical structure of the network used to provision or operate the Cloud Service, is traceable and up-to-date, in order to avoid administrative errors during live operation and to ensure timely recovery in the event of malfunctions in accordance with contractual obligations. The documentation shows how the subnets are allocated and how the network is zoned and segmented. In addition, the geographical locations in which the cloud customers' data is stored are indicated.",,Zoning is a segmentation of the subnets with a firewall implemented at the network perimeters.,,no,"The documentation of the logical structure of the network is rarely changed and is stored centrally. Therefore, a continuous audit is not effective. However, a continuous audit could return the date of the last change to the documentation."
Communication Security (COS),COS-08,Policies for data transmission,"Policies and instructions with technical and organisational safeguards in order to protect the transmission of data against unauthorised interception, manipulation, copying, modification, redirection or destruction are documented, communicated and provided according to SP-01. The policies and instructions establish a reference to the classification of information (cf. AM-06).",,"A safeguard against unauthorised interception, manipulation, copying, modification, redirection or destruction of data during transmission is e.g. the use of transport encryption according to CRY-02.","Cloud customers ensure through suitable controls that the transmitted data transmitted to the cloud service is protected against tampering, copying, modifying, redirecting or deleting in accordance with their protection needs.",no,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Portability and Interoperability (PI),PI-01,Documentation and safety of input and output interfaces,"The cloud service can be accessed by other cloud services or IT systems of cloud customers through documented inbound and outbound interfaces. Further, the interfaces are clearly documented for subject matter experts on how they can be used to retrieve the data.

Communication takes place through standardised communication protocols that ensure the confidentiality and integrity of the transmitted information according to its protection requirements. Communication over untrusted networks is encrypted according to CRY-02.

The type and scope of the documentation on the interfaces is geared to the needs of the cloud customers' subject matter experts in order to enable the use of these interfaces. The information is maintained in such a way that it is applicable for the cloud service's version which is intended for productive use.",,,Cloud customers ensure through suitable controls that the interfaces provided (and their security) are adequate for its protection requirements by means of appropriate checks before the start of use of the cloud service and each time the interfaces are changed.,partially,"The defined input and output interfaces of cloud services are rarely changed. Therefore, it is sufficient for the auditor to test these interfaces, the communication of potential changes, and the associated documentation as part of the recurring audit.

In a continuous audit, however, the system status of the interfaces could be queried and evaluated, continuously."
Portability and Interoperability (PI),PI-02,Contractual agreements for the provision of data,"In contractual agreements, the following aspects are defined with regard to the termination of the contractual relationship, insofar as these are applicable to the cloud service:

- Type, scope and format of the data the Cloud Service Provider provides to the cloud customer;

- Definition of the timeframe, within which the Cloud Service Provider makes the data available to the cloud customer 

- Definition of the point in time as of which the Cloud Service Provider makes the data inaccessible to the cloud customer and deletes these; and

- The cloud customers' responsibilities and obligations to cooperate for the provision of the data.

The definitions are based on the needs of subject matter experts of potential customers who assess the suitability of the cloud service with regard to a dependency on the Cloud Service Provider as well as legal and regulatory requirements.","The design of the aspects is based on legal and regulatory requirements in the environment of the Cloud Service Provider. The Cloud Service Provider identifies the requirements regularly, at least once a year, and checks these for actuality and adjusts the contractual agreements accordingly.","The type and scope of the data and the responsibilities for its provision depend on the service model of the cloud service or the services and functions provided:

In the case of IaaS and PaaS, the cloud customer is generally responsible for extracting and backing up the data which is stored in the cloud service before termination of the contractual relationship (cf. complementary requirement).

The Cloud Service Provider's responsibility is typically limited to the provision of data for the configuration of the infrastructure or platform that the cloud customer has set up within its environment (e.g. configuration of networks, images of virtual machines and containers).

With SaaS, the cloud customer typically relies on export functions provided by the Cloud Service Provider. Data created by the cloud customer should be available in the same format as stored in the cloud service. Other data, including relevant log files and metadata, should be available in an applicable standard format, such as CSV, JSON or XML.

In Germany, legal requirements for retention can be found, for example, in the German Tax Code (§147 AO) and the German Commercial Code (§257 HGB). These provide for a retention obligation of six or ten years.",Cloud customers ensure through suitable controls that the data to which they are contractually entitled is requested from the Cloud Service Provider at the end of the contract or accessed via defined interfaces (the type and scope of the data correspond to the contractual agreements that were concluded prior to the use of the cloud service) and that it is stored in accordance with the legal requirements applicable to this data.,no,"The Cloud Service Provider should have a standardised template for its contracts. Hence, all contracts are structured according to the same pattern. 

This template is rarely changed. Therefore, a continuous audit is not practical. Therefore, it is sufficient to test the contracts and the associated template as part of the recurring audit."
Portability and Interoperability (PI),PI-03,Secure deletion of data,"The Cloud Service Provider's procedures for deleting the cloud customers' data upon termination of the contractual relationship ensure compliance with the contractual agreements (cf. PI-02).

The deletion includes data in the cloud customer's environment, metadata and data stored in the data backups.

The deletion procedures prevent recovery by forensic means.",,Suitable methods for data deletion are e.g. multiple overwriting or deletion of the encryption key.,Cloud customers ensure through suitable controls that the legal and regulatory framework (e.g. legal requirements for storage and deletion) is identified and that the deletion of their data is initiated accordingly.,yes,"The complete deletion of the data is documented by the Cloud Service Provider using logs. The logs should include which data has been deleted so that it can be tracked whether data has been deleted in the cloud customer's environment, metadata and data in the backup.

The auditor can then perform an automated evaluation of these logs. The auditor can also check the system status of the procedure for deleting the data.

The fact that the deletion procedures prevent recovery by forensic means does not have to be audited continuously. The deletion procedures used can be tested as part of the recurring audit."
"Procurement, Development and Modification of Information Systems (DEV)",DEV-01 ,Policies for the development/procurement of information systems,"Policies and instructions with technical and organisational measures for the secure development of the cloud service are documented, communicated and provided in accordance with SP-01.

The policies and instructions contain guidelines for the entire life cycle of the cloud service and are based on recognised standards and methods with regard to the following aspects:

- Security in Software Development (Requirements, Design, Implementation, Testing and Verification); 

- Security in software deployment (including continuous delivery); and

- Security in operation (reaction to identified faults and vulnerabilities).","In procurement, products are preferred which have been certified according to the ""Common Criteria for Information Technology Security Evaluation"" (short: Common Criteria - CC) according Evaluation Assurance Level EAL 4. If non-certified products are to be procured for available certified products, a risk assessment is carried out in accordance with OIS-07.","The software provision can be carried out e.g. with Continuous Delivery methods.

Accepted standards and methods are, for example:

- ISO/IEC 27034; and

- OWASP Secure Software Development Lifecycle (S-SDLC).",,no,"The contents of the policies and instructions for the proper development or procurement of information systems do not change at a high frequency. A continuous audit of this documentation is not practical. Therefore, the integration of these tests into the recurring audit is sufficient."
"Procurement, Development and Modification of Information Systems (DEV)",DEV-02,Outsourcing of the development,"In the case of outsourced development of the cloud service (or individual system components), specifications regarding the following aspects are contractually agreed between the Cloud Service Provider and the outsourced development contractor:

- Security in software development (requirements, design, implementation, tests and verifications) in accordance with recognised standards and methods;

- Acceptance testing of the quality of the services provided in accordance with the agreed functional and non-functional requirements; and

- Providing evidence that sufficient verifications have been carried out to rule out the existence of known vulnerabilities.",,"Outsourced development in the sense of the basic criterion refers to the development of system components used specifically for the cloud service by a contractor of the Cloud Service Provider. The development takes place according to the processes of the contractor.

The purchase of software available on the market as well as the integration of external employees into the processes of the Cloud Service Provider do not constitute outsourcing in the sense of this basic criterion.",,no,"An outsourced development of a Cloud Service Provider's cloud services and the associated contract creation and signing will not be performed with high frequency. Changes in contract structures are also rare. Therefore, a continuous audit in these cases is not effective."
"Procurement, Development and Modification of Information Systems (DEV)",DEV-03,Policies for changes to information systems,"Policies and instructions with technical and organisational safeguards for change management of system components of the cloud service within the scope of software deployment are documented, communicated and provided according to SP-01 with regard to the following aspects:

- Criteria for risk assessment, categorisation and prioritisation of changes and related requirements for the type and scope of testing to be performed, and necessary approvals for the development/implementation of the change and releases for deployment in the production environment by authorised personnel or system components;

- Requirements for the performance and documentation of tests;

- Requirements for segregation of duties during development, testing and release of changes;

- Requirements for the proper information of cloud customers about the type and scope of the change as well as the resulting obligations to cooperate in accordance with the contractual agreements;

- Requirements for the documentation of changes in system, operational and user documentation; and

- Requirements for the implementation and documentation of emergency changes that must comply with the same level of security as normal changes.",,"Changes in the sense of the basic criterion are those that can lead to changes in the configuration, functionality or security of system components of the cloud service in the production environment. This includes changes to the infrastructure as well as to the source code.

If individual changes are combined in a new release, update, patch or comparable software object for the purpose of software provisioning, this software object is deemed to be a change within the meaning of the basic criterion, but not the individual changes contained therein.

Changes to the existing network configuration must also undergo a specified procedure, as they are necessary for effective segregation of cloud customers.

Personnel and system components receive authorisation to approve changes in accordance with the requirements for access and access authorisations (cf. IDM-01) via a specified procedure (cf. IDM-02).Relevant information includes descriptions of e.g. new functions.

The cloud customer's obligations to cooperate can define that, e.g. the cloud customer must carry out certain tests.",,no,The contents of the policies and instructions for managing and modifying system components are not changed at a high frequency. A continuous audit of this documentation is therefore not effective. It is sufficient to integrate these tests into the recurring audit.
"Procurement, Development and Modification of Information Systems (DEV)",DEV-04,"Safety training and awareness programme regarding continuous software delivery and associated systems, components or tools.","The Cloud Service Provider provides a training program for regular, target group-oriented security training and awareness for internal and external employees on standards and methods of secure software development and provision as well as on how to use the tools used for this purpose. The program is regularly reviewed and updated with regard to the applicable policies and instructions, the assigned roles and responsibilities and the tools used.",,,,yes,"The Cloud Service Provider can automatically check the valid policies and instructions, the assigned roles and responsibilities and the tools used and document the results in logs.

These logs can be automatically evaluated by the auditor and thus a continuous audit can be carried out."
"Procurement, Development and Modification of Information Systems (DEV)",DEV-05,"Risk assessment, categorisation and prioritisation of changes","In accordance with the applicable policies (cf. DEV-03), changes are subjected to a risk assessment with regard to potential effects on the system components concerned and are categorised and prioritised accordingly.","In accordance with the contractual agreements, meaningful information about the occasion, time, duration, type and scope of the change is submitted to authorised bodies of the cloud customer so that they can carry out their own risk assessment before the change is made available in the production environment. Regardless of the contractual agreements, this is done for changes that have the highest risk category based on their risk assessment.",,,yes,"The evaluation of changes in releases can be standardised and automated by the Cloud Service Provider. If this evaluation is carried out in standardised and digital form (tickets/logs), an automated evaluation can be carried out by the auditor."
"Procurement, Development and Modification of Information Systems (DEV)",DEV-06,Testing changes,"Changes to the cloud service are subject to appropriate testing during software development and deployment.

The type and scope of the tests correspond to the risk assessment. The tests are carried out by appropriately qualified personnel of the Cloud Service Provider or by automated test procedures that comply with the state-of-the-art. Cloud customers are involved into the tests in accordance with the contractual requirements.

The severity of the errors and vulnerabilities identified in the tests, which are relevant for the deployment decision, is determined according to defined criteria and actions for timely remediation or mitigation are initiated.",,"The errors and vulnerabilities identified in tests can be assessed, for example, according to the Common Vulnerability Scoring System (CVSS).","Where changes are to be tested by the cloud customers in accordance with the contractual agreements prior to deployment in the production environment, the cloud customers ensure through suitable controls that the tests are performed appropriately to identify errors. In particular, this includes timely execution of the tests by qualified personnel in accordance with the conditions specified by the Cloud Service Provider.",yes,"If the tests are carried out automatically, the execution and associated results can be documented in logs. These logs can then be read continuously by the auditor.

Measures for the elimination of identified vulnerabilities can also be documented and carried out in a standardised manner, so that continuous auditing is possible."
"Procurement, Development and Modification of Information Systems (DEV)",DEV-07,Logging of changes,System components and tools for source code management and software deployment that are used to make changes to system components of the cloud service in the production environment are subject to a role and rights concept according to IDM-01 and authorisation mechanisms. They must be configured in such a way that all changes are logged and can therefore be traced back to the individuals or system components executing them.,,,,yes,"The changes to the role and rights concept according to IDM-01 are documented in logs by the Cloud Service Provider. Thus, an automatic and continuous evaluation of these logs can be carried out. Irregularities are detected and logged.

The auditor can perform a continuous audit by automatically evaluating the logs and logged irregularities."
"Procurement, Development and Modification of Information Systems (DEV)",DEV-08,Version Control,Version control procedures are set up to track dependencies of individual changes and to restore affected system components back to their previous state as a result of errors or identified vulnerabilities.,Version control procedures provide appropriate safeguards to ensure that the integrity and availability of cloud customer data is not compromised when system components are restored back to their previous state.,,,yes,"The procedures for version control of the Cloud Service Provider and, if necessary, resetting to previous states can be automated. This must be documented in logs. An automatic evaluation of these logs makes continuous auditing possible."
"Procurement, Development and Modification of Information Systems (DEV)",DEV-09,Approvals for provision in the production environment,"Authorised personnel or system components of the Cloud Service Provider approve changes to the cloud service based on defined criteria (e.g. test results and required approvals) before these are made available to the cloud customers in the production environment.

Cloud customers are involved in the release according to contractual requirements.",,The definitions for criterion DEV-03 apply.,"Where changes are to be approved by the cloud customers in accordance with the contractual agreements before they are made available in the production environment, the cloud customers ensure through suitable controls that authorised and qualified personnel receives the information made available, assesses the impact on the ISMS framework and decides on the approval in accordance with the conditions specified by the Cloud Service Provider.",yes,"Verification that all tests have been completed, successful and approved by an authorised body can be automated by the Cloud Service Provider and documented in logs.

These logs can then be evaluated automatically and continuously by the auditor."
"Procurement, Development and Modification of Information Systems (DEV)",DEV-10,Separation of environments,"Production environments are physically or logically separated from test or development environments to prevent unauthorised access to cloud customer data, the spread of malware, or changes to system components. Data contained in the production environments is not used in test or development environments in order not to compromise their confidentiality.",,,,yes,"Since fundamental changes in test and development environments, which would affect the physical or logical separation, are rarely made, a continuous audit is not practical. The respective environments must be tested initially and then audited again if changes are made."
Control and Monitoring of Service Providers and Suppliers (SSO),SSO-01,Policies and instructions for controlling and monitoring third parties,"Policies and instructions for controlling and monitoring third parties (e.g. service providers or suppliers) whose services contribute to the provision of the cloud service are documented, communicated and provided in accordance with SP-01 with respect to the following aspects:

- Requirements for the assessment of risks resulting from the procurement of third-party services;

- Requirements for the classification of third parties based on the risk assessment by the Cloud Service Provider and the determination of whether the third party is a subcontractor (cf. Supplementary Information);

- Information security requirements for the processing, storage or transmission of information by third parties based on recognised industry standards;

- Information security awareness and training requirements for staff;

- applicable legal and regulatory requirements;

- Requirements for dealing with vulnerabilities, security incidents and malfunctions;

- Specifications for the contractual agreement of these requirements;

- Specifications for the monitoring of these requirements; and

- Specifications for applying these requirements also to service providers used by the third parties, insofar as the services provided by these service providers also contribute to the provision of the cloud service.","Subservice organisations of the Cloud Service Provider are contractually obliged to provide regular reports by independent auditors on the suitability of the design and operating effectiveness of their service-related internal control system.

The reports include the complementary subservice organisations that are required, together with the controls of the Cloud Service Provider, to meet the applicable basic criteria of BSI C5 with reasonable assurance.

In case no reports can be provided, the Cloud Service Provider agrees appropriate information and audit rights to assess the suitability and effectiveness of the service-related internal control system, including the complementary controls, by qualified personnel.","Reports by independent auditors on the suitability of the design and operating effectiveness of their service-related internal control system are, for example, attestation reports in accordance with ISAE 3402, IDW PS 951, SOC 2 or BSI C5.

Qualified personnel works, for example, in the Cloud Service Provider's internal audit department or is commissioned by the Cloud Service Provider in form of expert third parties, such as audit firms, and may hold relevant certifications such as ""Certified Internal Auditor (CIA)"". 

The complementary controls at the sub-service provider are necessary in order to, together with the controls of the Cloud Service Provider, fulfil the applicable C5 criteria with reasonable assurance.

Applicable legal and regulatory requirements may exist, for example, in the areas of data protection, intellectual property rights or copyright.

If legal or regulatory requirements provide for a regulation deviating from these criteria for the control of subcontractors, these regulations remain unaffected by the C5 criteria.",,partially,"Regarding the availability of the documentation, a continuous audit is not practical, since the associated processes and steps can be tested in a recurring audit. 

A continuous audit of whether changes have been made to the policies is possible, provided that these changes are documented by the Cloud Service Provider and can be evaluated. However, an automated audit of the meaningfulness of the changes is difficult to implement.

Regarding the proof that a communication/provision has taken place, a continuous audit is considered possible.

For this, the Cloud Service Provider would have to realise the notification based on a system (e.g. based on tickets or notes in the respective service provider contract)."
