,,,,,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category
Human Resources,Employment Agreement Content,HRS-08,"The organization includes within the employment agreements provisions
and/or terms for adherence to established information governance and security
policies.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared across the supply chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Team and expertise,Supply Chain,N/A,AI Services supply chain,N/A,N/A,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Human Resources,Personnel Roles and Responsibilities,HRS-09,"Document and communicate roles and responsibilities of employees,
as they relate to information assets and security.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared across the supply chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Team and expertise,Supply Chain,N/A,AI Services supply chain,N/A,N/A,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Human Resources,Non-Disclosure Agreements,HRS-10,"Identify, document, and review, at planned intervals, requirements
for non-disclosure/confidentiality agreements reflecting the organization's
needs for the protection of data and operational details.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared across the supply chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Team and expertise,Supply Chain,N/A,AI Services supply chain,N/A,N/A,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Human Resources,Security Awareness Training,HRS-11,"Establish, document, approve, communicate, apply, evaluate and maintain
a security awareness training program for all employees of the organization
and provide regular training updates.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared across the supply chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Team and expertise,Supply Chain,N/A,AI Services supply chain,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Human Resources,Personal and Sensitive Data Awareness and Training,HRS-12,"Provide all employees with access to sensitive organizational and
personal data with appropriate security awareness training and regular updates
in organizational procedures, processes, and policies relating to their professional
function relative to the organization.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared across the supply chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Team and expertise,Supply Chain,N/A,AI Services supply chain,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Human Resources,Compliance User Responsibility,HRS-13,"Make employees aware of their roles and responsibilities for maintaining
awareness and compliance with established policies and procedures and applicable
legal, statutory, or regulatory compliance obligations.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared across the supply chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Team and expertise,Supply Chain,N/A,AI Services supply chain,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Human Resources,AI Competency Training,HRS-14,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures defining the AI training program for all relevant personnel of the organization based on their roles and provide regular training updates.",AI-Specific,Owned by the Customer (AIC),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared across the supply chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Team and expertise,Supply Chain,N/A,AI Services supply chain,N/A,N/A,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Human Resources,AI Acceptable Use,HRS-15,"Establish, document, and communicate to all personnel the policies and procedures
on the acceptable use of AI technologies within the organization.",AI-Specific,Owned by the Customer (AIC),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared across the supply chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Team and expertise,Supply Chain,N/A,AI Services supply chain,N/A,N/A,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Identity & Access Management,Identity and Access Management Policy and Procedures,IAM-01,"Establish, document, approve, communicate, implement, apply, evaluate
and maintain policies and procedures for identity and access management. Review
and update the policies and procedures at least annually.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data storage, Team and expertise","Design, Supply Chain",Evaluation,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Identity & Access Management,Strong Password Policy and Procedures,IAM-02,"Establish, document, approve, communicate, implement, apply, evaluate
and maintain strong password policies and procedures. Review and update the
policies and procedures at least annually.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data storage, Team and expertise","Design, Supply Chain","Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Identity & Access Management,Identity Inventory,IAM-03,"Manage, store, and review the information of system identities, and
level of access.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data storage, Team and expertise","Design, Training, Guardrails, Supply Chain","Evaluation, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Identity & Access Management,Separation of Duties,IAM-04,"Employ the separation of duties principle when implementing information
system access.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared across the supply chain,Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Team and expertise, Resource provisioning","Design, Supply Chain, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous improvement, Continuous monitoring","Archiving, Data deletion",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Identity & Access Management,Least Privilege,IAM-05,"Employ the least privilege principle when implementing information
system access.
",Cloud & AI Related,Shared across the supply chain,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning, Team and expertise","Design, Supply Chain, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, Orchestration, AI applications","Operations, Maintenance","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Identity & Access Management,User Access Provisioning,IAM-06,"Define and implement a user access provisioning process which authorizes,
records, and communicates access changes to data and assets.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning, Team and expertise","Training, Guardrails, Supply Chain","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Identity & Access Management,User Access Changes and Revocation,IAM-07,"De-provision or respectively modify access of movers / leavers or
system identity changes in a timely manner in order to effectively adopt and
communicate identity and access management policies.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Team and expertise, Data storage, Resource provisioning, Data curation","Training, Guardrails, Supply Chain","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Identity & Access Management,User Access Review,IAM-08,"Review and revalidate user access for least privilege and separation
of duties with a frequency that is commensurate with organizational risk tolerance.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning, Team and expertise, Data curation","Training, Guardrails, Supply Chain","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Identity & Access Management,Segregation of Privileged Access Roles,IAM-09,"Define, implement and evaluate processes, procedures and technical
measures for the segregation of privileged access roles such that administrative
access to data, encryption and key management capabilities and logging capabilities
are distinct and separated.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data curation, Data storage, Resource provisioning, Team and expertise","Training, Guardrails, Supply Chain","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Identity & Access Management,Management of Privileged Access Roles,IAM-10,"Define and implement an access process to ensure privileged access
roles and rights are granted for a time limited period, and implement procedures
to prevent the culmination of segregated privileged access.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning","Design, Supply Chain",Validation/Red Teaming,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Identity & Access Management,CSCs Approval for Agreed Privileged Access Roles,IAM-11,"Define, implement and evaluate processes and procedures for customers
to participate, where applicable, in the granting of access for agreed, high
risk (as defined by the organizational risk assessment) privileged access roles.
",Cloud-Specific,Shared Application Provider-AI Customer (Shared AP-AIC),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Data collection","Design, Supply Chain",Validation/Red Teaming,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Identity & Access Management,Safeguard Logs Integrity,IAM-12,"Define, implement and evaluate processes, procedures and technical
measures to ensure the logging infrastructure is read-only for all with write
access, including privileged access roles, and that the ability to disable it
is controlled through a procedure that ensures the segregation of duties and
break glass procedures.
",Cloud-Specific,Owned by the Cloud Service Provider (CSP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared across the supply chain,Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning, Team and expertise","Design, Supply Chain",Validation/Red Teaming,"AI Services supply chain, Orchestration, AI applications","Operations, Maintenance, Continuous monitoring","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Identity & Access Management,Uniquely Identifiable Users,IAM-13,"Define, implement and evaluate processes, procedures and technical
measures that ensure users are identifiable through unique IDs or which can
associate individuals to the usage of user IDs.
",Cloud-Specific,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Resource provisioning","Design, Supply Chain",Validation/Red Teaming,AI Services supply chain,"Operations, Maintenance","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Identity & Access Management,Strong Authentication,IAM-14,"Define, implement and evaluate processes, procedures and technical
measures for authenticating access to systems, application and data assets,
including multifactor authentication for at least privileged user and sensitive
data access. Adopt digital certificates or alternatives which achieve an equivalent
level of security for system identities.",Cloud-Specific,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Resource provisioning","Design, Supply Chain, Guardrails",Validation/Red Teaming,"Orchestration, AI Services supply chain","Operations, Maintenance","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Identity & Access Management,Passwords Management,IAM-15,"Define, implement and evaluate processes, procedures and technical
measures for the secure management of passwords.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Resource provisioning","Design, Guardrails, Supply Chain",Validation/Red Teaming,"AI Services supply chain, Orchestration","Maintenance, Operations",N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Identity & Access Management,Authorization Mechanisms,IAM-16,"Define, implement and evaluate processes, procedures and technical
measures to verify access to data and system functions is authorized.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Resource provisioning, Team and expertise","Design, Supply Chain, Training, Guardrails","Validation/Red Teaming, Evaluation","AI Services supply chain, Orchestration, AI applications","Operations, Maintenance","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Identity & Access Management,Knowledge Access Control - Need to Know,IAM-17,"Define policy and procedure for ""need to know"" access within the organization and in the context of the AI system to be applied when regulating access to resources.",Cloud & AI Related,Shared across the supply chain,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Resource provisioning","Design, Supply Chain","Validation/Red Teaming, Evaluation, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",,,,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Identity & Access Management,Intervention Control - Need special authorization,IAM-18,"If allowing model output manipulation before returning to end user, establish a role for this access. Only allow changes by authorized subjects with this role.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Resource provisioning, Data collection","Supply Chain, Design","Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance","Archiving, Data deletion, Model disposal",,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Interoperability & Portability,Interoperability and Portability Policy and Procedures,IPY-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for interoperability and portability including
requirements for:
a. Communications between application interfaces
b. Information processing interoperability
c. Application development portability
d. Information/Data exchange, usage, portability, integrity, and persistence
Review and update the policies and procedures at least annually.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage","Design, Training",Validation/Red Teaming,"Orchestration, AI Services supply chain, AI applications","Maintenance, Continuous monitoring, Continuous improvement",N/A,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Interoperability & Portability,Application Interface Availability,IPY-02,"Provide application interface(s) to CSCs so that they programmatically
retrieve their data to enable interoperability and portability.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Data storage,N/A,N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring",Data deletion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Interoperability & Portability,Secure Interoperability and Portability Management,IPY-03,"Implement cryptographically secure and standardized network protocols
for the management, import and export of data.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"Data collection, Data curation, Data storage",Training,"Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Interoperability & Portability,Data Portability Contractual Obligations,IPY-04,"Agreements must include provisions specifying CSCs access to data
upon contract termination and will include:
a. Data format
b. Length of time the data will be stored
c. Scope of the data retained and made available to the CSCs
d. Data deletion policy
",Cloud-Specific,Owned by the Cloud Service Provider (CSP),Owned by the Cloud Service Provider (CSP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Data storage,N/A,N/A,N/A,N/A,Data deletion,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Infrastructure Security,Infrastructure and Virtualization Security Policy and Procedures,I&S-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for infrastructure and virtualization security. Review
and update the policies and procedures at least annually.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Data storage, Resource provisioning",Training,N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring",Data deletion,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Infrastructure Security,Capacity and Resource Planning,I&S-02,"Plan and monitor the availability, quality, and adequate capacity
of resources in order to deliver the required system performance as determined
by the business.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Data storage, Resource provisioning",Training,"Re-evaluation, Evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Continuous monitoring, Continuous improvement",N/A,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Infrastructure Security,Network Security,I&S-03,"Monitor, encrypt and restrict communications between environments
to only authenticated and authorized connections, as justified by the business.
Review these configurations at least annually, and support them by a documented
justification of all allowed services, protocols, ports, and compensating controls.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Data storage, Resource provisioning",Guardrails,N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring",N/A,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Infrastructure Security,OS Hardening and Base Controls,I&S-04,"Harden host and guest OS, hypervisor or infrastructure control plane
according to their respective best practices, and supported by technical controls,
as part of a security baseline.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Data storage, Resource provisioning",Training,N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Infrastructure Security,Production and Non-Production Environments,I&S-05,"Separate production and non-production environments.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning","Training, Design, Guardrails","Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Infrastructure Security,Segmentation and Segregation,I&S-06,"Design, develop, deploy and configure applications and infrastructures such 
that CSP and CSC (tenant) user access and intra-tenant access is appropriately
segmented and segregated, monitored and restricted from other tenants.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning","Design, Guardrails","Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",N/A,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
