SORT-AS,Control Identifier,Control (or Control Enhancement) Name,Withdrawn,Privacy Baseline,Security Control Baseline - Low,Security Control Baseline - Moderate,Security Control Baseline - High
PM-28-00,PM-28,Risk Framing,,x,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-29-00,PM-29,Risk Management Program Leadership Roles,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-30-00,PM-30,Supply Chain Risk Management Strategy,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-30-01,PM-30(1),Supply Chain Risk Management Strategy | Suppliers of Critical or Mission-essential Items,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-31-00,PM-31,Continuous Monitoring Strategy,,x,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-32-00,PM-32,Purposing,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PS-01-00,PS-1,Policy and Procedures,,,x,x,x
PS-02-00,PS-2,Position Risk Designation,,,x,x,x
PS-03-00,PS-3,Personnel Screening,,,x,x,x
PS-03-01,PS-3(1),Personnel Screening | Classified Information,,,,,
PS-03-02,PS-3(2),Personnel Screening | Formal Indoctrination,,,,,
PS-03-03,PS-3(3),Personnel Screening | Information with Special Protective Measures,,,,,
PS-03-04,PS-3(4),Personnel Screening | Citizenship Requirements,,,,,
PS-04-00,PS-4,Personnel Termination,,,x,x,x
PS-04-01,PS-4(1),Personnel Termination | Post-employment Requirements,,,,,
PS-04-02,PS-4(2),Personnel Termination | Automated Actions,,,,,x
PS-05-00,PS-5,Personnel Transfer,,,x,x,x
PS-06-00,PS-6,Access Agreements,,x,x,x,x
PS-06-01,PS-6(1),Access Agreements | Information Requiring Special Protection,W: Incorporated into PS-3.,,,,
PS-06-02,PS-6(2),Access Agreements | Classified Information Requiring Special Protection,,,,,
PS-06-03,PS-6(3),Access Agreements | Post-employment Requirements,,,,,
PS-07-00,PS-7,External Personnel Security,,,x,x,x
PS-08-00,PS-8,Personnel Sanctions,,,x,x,x
PS-09-00,PS-9,Position Descriptions,,,x,x,x
PT-01-00,PT-1,Policy and Procedures,,x ,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-02-00,PT-2,Authority to Process Personally Identifiable Information,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-02-01,PT-2(1),Authority to Process Personally Identifiable Information | Data Tagging,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-02-02,PT-2(2),Authority to Process Personally Identifiable Information | Automation,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-03-00,PT-3,Personally Identifiable Information Processing Purposes,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-03-01,PT-3(1),Personally Identifiable Information Processing Purposes | Data Tagging,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-03-02,PT-3(2),Personally Identifiable Information Processing Purposes | Automation,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-04-00,PT-4,Consent,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-04-01,PT-4(1),Consent | Tailored Consent,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-04-02,PT-4(2),Consent | Just-in-time Consent,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-04-03,PT-4(3),Consent | Revocation,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-05-00,PT-5,Privacy Notice,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-05-01,PT-5(1),Privacy Notice | Just-in-time Notice,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-05-02,PT-5(2),Privacy Notice | Privacy Act Statements,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-06-00,PT-6,System of Records Notice,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-06-01,PT-6(1),System of Records Notice | Routine Uses,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-06-02,PT-6(2),System of Records Notice | Exemption Rules,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-07-00,PT-7,Specific Categories of Personally Identifiable Information,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-07-01,PT-7(1),Specific Categories of Personally Identifiable Information | Social Security Numbers,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-07-02,PT-7(2),Specific Categories of Personally Identifiable Information | First Amendment Information,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-08-00,PT-8,Computer Matching Requirements,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
RA-01-00,RA-1,Policy and Procedures,,x ,x,x,x
RA-02-00,RA-2,Security Categorization,,,x,x,x
RA-02-01,RA-2(1),Security Categorization | Impact-level Prioritization,,,,,
RA-03-00,RA-3,Risk Assessment,,x ,x,x,x
RA-03-01,RA-3(1),Risk Assessment | Supply Chain Risk Assessment,,,x,x ,x
RA-03-02,RA-3(2),Risk Assessment | Use of All-source Intelligence,,,,,
RA-03-03,RA-3(3),Risk Assessment | Dynamic Threat Awareness,,,,,
RA-03-04,RA-3(4),Risk Assessment | Predictive Cyber Analytics,,,,,
RA-04-00,RA-4,Risk Assessment Update,W: Incorporated into RA-3,,,,
RA-05-00,RA-5,Vulnerability Monitoring and Scanning,,,x,x,x
RA-05-01,RA-5(1),Vulnerability Monitoring and Scanning | Update Tool Capability,W: Incorporated into RA-5.,,,,
RA-05-02,RA-5(2),Vulnerability Monitoring and Scanning | Update Vulnerabilities to Be Scanned,,,x,x,x
RA-05-03,RA-5(3),Vulnerability Monitoring and Scanning | Breadth and Depth of Coverage,,,,,
RA-05-04,RA-5(4),Vulnerability Monitoring and Scanning | Discoverable Information,,,,,x
RA-05-05,RA-5(5),Vulnerability Monitoring and Scanning | Privileged Access,,,,x,x
RA-05-06,RA-5(6),Vulnerability Monitoring and Scanning | Automated Trend Analyses,,,,,
RA-05-07,RA-5(7),Vulnerability Monitoring and Scanning | Automated Detection and Notification of Unauthorized Components,W: Incorporated into CM-8.,,,,
RA-05-08,RA-5(8),Vulnerability Monitoring and Scanning | Review Historic Audit Logs,,,,,
RA-05-09,RA-5(9),Vulnerability Monitoring and Scanning | Penetration Testing and Analyses,W: Incorporated into CA-8,,,,
RA-05-10,RA-5(10),Vulnerability Monitoring and Scanning | Correlate Scanning Information,,,,,
RA-05-11,RA-5(11),Vulnerability Monitoring and Scanning | Public Disclosure Program,,,x,x,x
RA-06-00,RA-6,Technical Surveillance Countermeasures Survey,,,,,
RA-07-00,RA-7,Risk Response,,x ,x,x,x
RA-08-00,RA-8,Privacy Impact Assessments,,x ,,,
RA-09-00,RA-9,Criticality Analysis,,,,x,x
RA-10-00,RA-10,Threat Hunting,,,,,
SA-01-00,SA-1,Policy and Procedures,,x ,x,x,x
SA-02-00,SA-2,Allocation of Resources,,x,x,x,x
SA-03-00,SA-3,System Development Life Cycle,,x,x,x,x
SA-03-01,SA-3(1),System Development Life Cycle | Manage Preproduction Environment,,,,,
SA-03-02,SA-3(2),System Development Life Cycle | Use of Live or Operational Data,,,,,
SA-03-03,SA-3(3),System Development Life Cycle | Technology Refresh,,,,,
SA-04-00,SA-4,Acquisition Process,,x ,x,x,x
SA-04-01,SA-4(1),Acquisition Process | Functional Properties of Controls,,,,x,x
SA-04-02,SA-4(2),Acquisition Process | Design and Implementation Information for Controls,,,,x,x
SA-04-03,SA-4(3),"Acquisition Process | Development Methods, Techniques, and Practices",,,,,
SA-04-04,SA-4(4),Acquisition Process | Assignment of Components to Systems,W: Incorporated into CM-8(9).,,,,
SA-04-05,SA-4(5),"Acquisition Process | System, Component, and Service Configurations",,,,,x
SA-04-06,SA-4(6),Acquisition Process | Use of Information Assurance Products,,,,,
SA-04-07,SA-4(7),Acquisition Process | NIAP-approved Protection Profiles,,,,,
SA-04-08,SA-4(8),Acquisition Process | Continuous Monitoring Plan for Controls,,,,,
SA-04-09,SA-4(9),"Acquisition Process | Functions, Ports, Protocols, and Services in Use",,,,x,x
SA-04-10,SA-4(10),Acquisition Process | Use of Approved PIV Products,,,x,x,x
SA-04-11,SA-4(11),Acquisition Process | System of Records,,,,,
SA-04-12,SA-4(12),Acquisition Process | Data Ownership,,,,,
SA-05-00,SA-5,System Documentation,,,x,x,x
SA-05-01,SA-5(1),System Documentation | Functional Properties of Security Controls,W: Incorporated into SA-4(1).,,,,
SA-05-02,SA-5(2),System Documentation | Security-relevant External System Interfaces,W: Incorporated into SA-4(2).,,,,
SA-05-03,SA-5(3),System Documentation | High-level Design,W: Incorporated into SA-4(2).,,,,
SA-05-04,SA-5(4),System Documentation | Low-level Design,W: Incorporated into SA-4(2).,,,,
SA-05-05,SA-5(5),System Documentation | Source Code,W: Incorporated into SA-4(2).,,,,
SA-06-00,SA-6,Software Usage Restrictions,W: Incorporated into CM-10 and SI-7.,,,,
SA-07-00,SA-7,User-installed Software,W: Incorporated into CM-11 and SI-7.,,,,
SA-08-00,SA-8,Security and Privacy Engineering Principles,,,x,x,x
SA-08-01,SA-8(1),Security and Privacy Engineering Principles | Clear Abstractions,,,,,
SA-08-02,SA-8(2),Security and Privacy Engineering Principles | Least Common Mechanism,,,,,
SA-08-03,SA-8(3),Security and Privacy Engineering Principles | Modularity and Layering,,,,,
SA-08-04,SA-8(4),Security and Privacy Engineering Principles | Partially Ordered Dependencies,,,,,
SA-08-05,SA-8(5),Security and Privacy Engineering Principles | Efficiently Mediated Access,,,,,
SA-08-06,SA-8(6),Security and Privacy Engineering Principles | Minimized Sharing,,,,,
SA-08-07,SA-8(7),Security and Privacy Engineering Principles | Reduced Complexity,,,,,
SA-08-08,SA-8(8),Security and Privacy Engineering Principles | Secure Evolvability,,,,,
SA-08-09,SA-8(9),Security and Privacy Engineering Principles | Trusted Components,,,,,
SA-08-10,SA-8(10),Security and Privacy Engineering Principles | Hierarchical Trust,,,,,
SA-08-11,SA-8(11),Security and Privacy Engineering Principles | Inverse Modification Threshold,,,,,
SA-08-12,SA-8(12),Security and Privacy Engineering Principles | Hierarchical Protection,,,,,
SA-08-13,SA-8(13),Security and Privacy Engineering Principles | Minimized Security Elements,,,,,
SA-08-14,SA-8(14),Security and Privacy Engineering Principles | Least Privilege,,,,,
SA-08-15,SA-8(15),Security and Privacy Engineering Principles | Predicate Permission,,,,,
SA-08-16,SA-8(16),Security and Privacy Engineering Principles | Self-reliant Trustworthiness,,,,,
SA-08-17,SA-8(17),Security and Privacy Engineering Principles | Secure Distributed Composition,,,,,
SA-08-18,SA-8(18),Security and Privacy Engineering Principles | Trusted Communications Channels,,,,,
SA-08-19,SA-8(19),Security and Privacy Engineering Principles | Continuous Protection,,,,,
SA-08-20,SA-8(20),Security and Privacy Engineering Principles | Secure Metadata Management,,,,,
SA-08-21,SA-8(21),Security and Privacy Engineering Principles | Self-analysis,,,,,
SA-08-22,SA-8(22),Security and Privacy Engineering Principles | Accountability and Traceability,,,,,
SA-08-23,SA-8(23),Security and Privacy Engineering Principles | Secure Defaults,,,,,
SA-08-24,SA-8(24),Security and Privacy Engineering Principles | Secure Failure and Recovery,,,,,
SA-08-25,SA-8(25),Security and Privacy Engineering Principles | Economic Security,,,,,
SA-08-26,SA-8(26),Security and Privacy Engineering Principles | Performance Security,,,,,
SA-08-27,SA-8(27),Security and Privacy Engineering Principles | Human Factored Security,,,,,
SA-08-28,SA-8(28),Security and Privacy Engineering Principles | Acceptable Security,,,,,
SA-08-29,SA-8(29),Security and Privacy Engineering Principles | Repeatable and Documented Procedures,,,,,
SA-08-30,SA-8(30),Security and Privacy Engineering Principles | Procedural Rigor,,,,,
SA-08-31,SA-8(31),Security and Privacy Engineering Principles | Secure System Modification,,,,,
SA-08-32,SA-8(32),Security and Privacy Engineering Principles | Sufficient Documentation,,,,,
SA-08-33,SA-8(33),Security and Privacy Engineering Principles | Minimization,,x,,,
SA-09-00,SA-9,External System Services,,x ,x,x,x
SA-09-01,SA-9(1),External System Services | Risk Assessments and Organizational Approvals,,,,,
SA-09-02,SA-9(2),"External System Services | Identification of Functions, Ports, Protocols, and Services",,,,x,x
SA-09-03,SA-9(3),External System Services | Establish and Maintain Trust Relationship with Providers,,,,,
SA-09-04,SA-9(4),External System Services | Consistent Interests of Consumers and Providers,,,,,
SA-09-05,SA-9(5),"External System Services | Processing, Storage, and Service Location",,,,,
SA-09-06,SA-9(6),External System Services | Organization-controlled Cryptographic Keys,,,,,
SA-09-07,SA-9(7),External System Services | Organization-controlled Integrity Checking,,,,,
SA-09-08,SA-9(8),External System Services | Processing and Storage Location — U.S. Jurisdiction,,,,,
SA-10-00,SA-10,Developer Configuration Management,,,,x,x
SA-10-01,SA-10(1),Developer Configuration Management | Software and Firmware Integrity Verification,,,,,
SA-10-02,SA-10(2),Developer Configuration Management | Alternative Configuration Management,,,,,
SA-10-03,SA-10(3),Developer Configuration Management | Hardware Integrity Verification,,,,,
SA-10-04,SA-10(4),Developer Configuration Management | Trusted Generation,,,,,
SA-10-05,SA-10(5),Developer Configuration Management | Mapping Integrity for Version Control,,,,,
SA-10-06,SA-10(6),Developer Configuration Management | Trusted Distribution,,,,,
SA-10-07,SA-10(7),Developer Configuration Management | Security and Privacy Representatives,,,,,
SA-11-00,SA-11,Developer Testing and Evaluation,,x,,x,x
SA-11-01,SA-11(1),Developer Testing and Evaluation | Static Code Analysis,,,,,
SA-11-02,SA-11(2),Developer Testing and Evaluation | Threat Modeling and Vulnerability Analyses,,,,,
SA-11-03,SA-11(3),Developer Testing and Evaluation | Independent Verification of Assessment Plans and Evidence,,,,,
SA-11-04,SA-11(4),Developer Testing and Evaluation | Manual Code Reviews,,,,,
SA-11-05,SA-11(5),Developer Testing and Evaluation | Penetration Testing,,,,,
SA-11-06,SA-11(6),Developer Testing and Evaluation | Attack Surface Reviews,,,,,
SA-11-07,SA-11(7),Developer Testing and Evaluation | Verify Scope of Testing and Evaluation,,,,,
SA-11-08,SA-11(8),Developer Testing and Evaluation | Dynamic Code Analysis,,,,,
SA-11-09,SA-11(9),Developer Testing and Evaluation | Interactive Application Security Testing,,,,,
SA-12-00,SA-12,Supply Chain Protection,W: Moved to SR Family,,,,
SA-12-01,SA-12(1),Supply Chain Protection | Acquisition Strategies / Tools / Methods,W: Moved to SR-5.,,,,
SA-12-02,SA-12(2),Supply Chain Protection | Supplier Reviews,W: Moved to SR-6.,,,,
SA-12-03,SA-12(3),Supply Chain Protection | Trusted Shipping and Warehousing,W: Incorporated into SR-3.,,,,
SA-12-04,SA-12(4),Supply Chain Protection | Diversity of Suppliers,W: Moved to SR-3(1).,,,,
SA-12-05,SA-12(5),Supply Chain Protection | Limitation of Harm,W: Moved to SR-3(2).,,,,
SA-12-06,SA-12(6),Supply Chain Protection | Minimizing Procurement Time,W: Incorporated into SR-5(1).,,,,
SA-12-07,SA-12(7),Supply Chain Protection | Assessments Prior to Selection / Acceptance / Update,W: Moved to SR-5(2).,,,,
SA-12-08,SA-12(8),Supply Chain Protection | Use of All-source Intelligence,W: Incorporated into RA-3(2).,,,,
SA-12-09,SA-12(9),Supply Chain Protection | Operations Security,W: Moved to SR-7.,,,,
SA-12-10,SA-12(10),Supply Chain Protection | Validate as Genuine and Not Altered,W: Moved to SR-4(3).,,,,
SA-12-11,SA-12(11),"Supply Chain Protection | Penetration Testing / Analysis of Elements, Processes, and Actors",W: Moved to SR-6(1).,,,,
SA-12-12,SA-12(12),Supply Chain Protection | Inter-organizational Agreements,W: Moved to SR-8.,,,,
SA-12-13,SA-12(13),Supply Chain Protection | Critical Information System Components,W: Incorporated into MA-6 and RA-9.,,,,
SA-12-14,SA-12(14),Supply Chain Protection | Identity and Traceability,W: Moved to SR-4(1) and SR-4(2).,,,,
SA-12-15,SA-12(15),Supply Chain Protection | Processes to Address Weaknesses or Deficiencies,W: Incorporated into SR-3.,,,,
SA-13-00,SA-13,Trustworthiness,W: Incorporated into SA-8.,,,,
SA-14-00,SA-14,Criticality Analysis,W: Incorporated into RA-9.,,,,
SA-14-01,SA-14(1),Criticality Analysis | Critical Components with No Viable Alternative Sourcing,W: Incorporated into SA-20.,,,,
SA-15-00,SA-15,"Development Process, Standards, and Tools",,,,x,x
SA-15-01,SA-15(1),"Development Process, Standards, and Tools | Quality Metrics",,,,,
SA-15-02,SA-15(2),"Development Process, Standards, and Tools | Security and Privacy Tracking Tools",,,,,
SA-15-03,SA-15(3),"Development Process, Standards, and Tools | Criticality Analysis",,,,x,x
SA-15-04,SA-15(4),"Development Process, Standards, and Tools | Threat Modeling and Vulnerability Analysis",W: Incorporated into SA-11(2).,,,,
SA-15-05,SA-15(5),"Development Process, Standards, and Tools | Attack Surface Reduction",,,,,
SA-15-06,SA-15(6),"Development Process, Standards, and Tools | Continuous Improvement",,,,,
SA-15-07,SA-15(7),"Development Process, Standards, and Tools | Automated Vulnerability Analysis",,,,,
SA-15-08,SA-15(8),"Development Process, Standards, and Tools | Reuse of Threat and Vulnerability Information",,,,,
SA-15-09,SA-15(9),"Development Process, Standards, and Tools | Use of Live Data",W: Incorporated into SA-3(2).,,,,
SA-15-10,SA-15(10),"Development Process, Standards, and Tools | Incident Response Plan",,,,,
SA-15-11,SA-15(11),"Development Process, Standards, and Tools | Archive System or Component",,,,,
SA-15-12,SA-15(12),"Development Process, Standards, and Tools | Minimize Personally Identifiable Information",,,,,
SA-16-00,SA-16,Developer-provided Training,,,,,x
SA-17-00,SA-17,Developer Security and Privacy Architecture and Design,,,,,x
SA-17-01,SA-17(1),Developer Security and Privacy Architecture and Design | Formal Policy Model,,,,,
SA-17-02,SA-17(2),Developer Security and Privacy Architecture and Design | Security-relevant Components,,,,,
SA-17-03,SA-17(3),Developer Security and Privacy Architecture and Design | Formal Correspondence,,,,,
SA-17-04,SA-17(4),Developer Security and Privacy Architecture and Design | Informal Correspondence,,,,,
SA-17-05,SA-17(5),Developer Security and Privacy Architecture and Design | Conceptually Simple Design,,,,,
SA-17-06,SA-17(6),Developer Security and Privacy Architecture and Design | Structure for Testing,,,,,
SA-17-07,SA-17(7),Developer Security and Privacy Architecture and Design | Structure for Least Privilege,,,,,
SA-17-08,SA-17(8),Developer Security and Privacy Architecture and Design | Orchestration,,,,,
SA-17-09,SA-17(9),Developer Security and Privacy Architecture and Design | Design Diversity,,,,,
SA-18-00,SA-18,Tamper Resistance and Detection,W: Moved to SR-9.,,,,
SA-18-01,SA-18(1),Tamper Resistance and Detection | Multiple Phases of System Development Life Cycle,W: Moved to SR-9(1).,,,,
SA-18-02,SA-18(2),Tamper Resistance and Detection | Inspection of Systems or Components,W: Moved to SR-10.,,,,
SA-19-00,SA-19,Component Authenticity,W: Moved to SR-11.,,,,
SA-19-01,SA-19(1),Component Authenticity | Anti-counterfeit Training,W: Moved to SR-11(1).,,,,
SA-19-02,SA-19(2),Component Authenticity | Configuration Control for Component Service and Repair,W: Moved to SR-11(2).,,,,
SA-19-03,SA-19(3),Component Authenticity | Component Disposal,W: Moved to SR-12.,,,,
SA-19-04,SA-19(4),Component Authenticity | Anti-counterfeit Scanning,W: Moved to SR-11(3).,,,,
SA-20-00,SA-20,Customized Development of Critical Components,,,,,
SA-21-00,SA-21,Developer Screening,,,,,x
SA-21-01,SA-21(1),Developer Screening | Validation of Screening,W: Incorporated into SA-21.,,,,
SA-22-00,SA-22,Unsupported System Components,,,x,x,x
SA-22-01,SA-22(1),Unsupported System Components | Alternative Sources for Continued Support,W: Incorporated into SA-22.,,,,
SA-23-00,SA-23,Specialization,,,,,
SC-01-00,SC-1,Policy and Procedures,,,x,x,x
SC-02-00,SC-2,Separation of System and User Functionality,,,,x,x
SC-02-01,SC-2(1),Separation of System and User Functionality | Interfaces for Non-privileged Users,,,,,
SC-02-02,SC-2(2),Separation of System and User Functionality | Disassociability,,,,,
SC-03-00,SC-3,Security Function Isolation,,,,,x
SC-03-01,SC-3(1),Security Function Isolation | Hardware Separation,,,,,
SC-03-02,SC-3(2),Security Function Isolation | Access and Flow Control Functions,,,,,
SC-03-03,SC-3(3),Security Function Isolation | Minimize Nonsecurity Functionality,,,,,
SC-03-04,SC-3(4),Security Function Isolation | Module Coupling and Cohesiveness,,,,,
SC-03-05,SC-3(5),Security Function Isolation | Layered Structures,,,,,
SC-04-00,SC-4,Information in Shared System Resources,,,,x,x
SC-04-01,SC-4(1),Information in Shared System Resources | Security Levels,W: Incorporated into SC-4.,,,,
SC-04-02,SC-4(2),Information in Shared System Resources | Multilevel or Periods Processing,,,,,
SC-05-00,SC-5,Denial-of-service Protection,,,x,x,x
SC-05-01,SC-5(1),Denial-of-service Protection | Restrict Ability to Attack Other Systems,,,,,
SC-05-02,SC-5(2),"Denial-of-service Protection | Capacity, Bandwidth, and Redundancy",,,,,
SC-05-03,SC-5(3),Denial-of-service Protection | Detection and Monitoring,,,,,
SC-06-00,SC-6,Resource Availability,,,,,
SC-07-00,SC-7,Boundary Protection,,,x,x,x
SC-07-01,SC-7(1),Boundary Protection | Physically Separated Subnetworks,W: Incorporated into SC-7.,,,,
SC-07-02,SC-7(2),Boundary Protection | Public Access,W: Incorporated into SC-7.,,,,
SC-07-03,SC-7(3),Boundary Protection | Access Points,,,,x,x
SC-07-04,SC-7(4),Boundary Protection | External Telecommunications Services,,,,x,x
SC-07-05,SC-7(5),Boundary Protection | Deny by Default — Allow by Exception,,,,x,x
SC-07-06,SC-7(6),Boundary Protection | Response to Recognized Failures,W: Incorporated into SC-7(18).,,,,
SC-07-07,SC-7(7),Boundary Protection | Split Tunneling for Remote Devices,,,,x,x
SC-07-08,SC-7(8),Boundary Protection | Route Traffic to Authenticated Proxy Servers,,,,x,x
SC-07-09,SC-7(9),Boundary Protection | Restrict Threatening Outgoing Communications Traffic,,,,,
SC-07-10,SC-7(10),Boundary Protection | Prevent Exfiltration,,,,,
SC-07-11,SC-7(11),Boundary Protection | Restrict Incoming Communications Traffic,,,,,
SC-07-12,SC-7(12),Boundary Protection | Host-based Protection,,,,,
SC-07-13,SC-7(13),"Boundary Protection | Isolation of Security Tools, Mechanisms, and Support Components",,,,,
SC-07-14,SC-7(14),Boundary Protection | Protect Against Unauthorized Physical Connections,,,,,
SC-07-15,SC-7(15),Boundary Protection | Networked Privileged Accesses,,,,,
SC-07-16,SC-7(16),Boundary Protection | Prevent Discovery of System Components,,,,,
SC-07-17,SC-7(17),Boundary Protection | Automated Enforcement of Protocol Formats,,,,,
SC-07-18,SC-7(18),Boundary Protection | Fail Secure,,,,,x
SC-07-19,SC-7(19),Boundary Protection | Block Communication from Non-organizationally Configured Hosts,,,,,
SC-07-20,SC-7(20),Boundary Protection | Dynamic Isolation and Segregation,,,,,
SC-07-21,SC-7(21),Boundary Protection | Isolation of System Components,,,,,x
SC-07-22,SC-7(22),Boundary Protection | Separate Subnets for Connecting to Different Security Domains,,,,,
SC-07-23,SC-7(23),Boundary Protection | Disable Sender Feedback on Protocol Validation Failure,,,,,
SC-07-24,SC-7(24),Boundary Protection | Personally Identifiable Information,,x,,,
SC-07-25,SC-7(25),Boundary Protection | Unclassified National Security System Connections,,,,,
SC-07-26,SC-7(26),Boundary Protection | Classified National Security System Connections,,,,,
SC-07-27,SC-7(27),Boundary Protection | Unclassified Non-national Security System Connections,,,,,
SC-07-28,SC-7(28),Boundary Protection | Connections to Public Networks,,,,,
SC-07-29,SC-7(29),Boundary Protection | Separate Subnets to Isolate Functions,,,,,
SC-08-00,SC-8,Transmission Confidentiality and Integrity,,,,x,x
SC-08-01,SC-8(1),Transmission Confidentiality and Integrity | Cryptographic Protection,,,,x,x
SC-08-02,SC-8(2),Transmission Confidentiality and Integrity | Pre- and Post-transmission Handling,,,,,
SC-08-03,SC-8(3),Transmission Confidentiality and Integrity | Cryptographic Protection for Message Externals,,,,,
SC-08-04,SC-8(4),Transmission Confidentiality and Integrity | Conceal or Randomize Communications,,,,,
SC-08-05,SC-8(5),Transmission Confidentiality and Integrity | Protected Distribution System,,,,,
SC-09-00,SC-9,Transmission Confidentiality,W: Incorporated into SC-8.,,,,
SC-10-00,SC-10,Network Disconnect,,,,x,x
SC-11-00,SC-11,Trusted Path,,,,,
SC-11-01,SC-11(1),Trusted Path | Irrefutable Communications Path,,,,,
SC-12-00,SC-12,Cryptographic Key Establishment and Management,,,x,x,x
SC-12-01,SC-12(1),Cryptographic Key Establishment and Management | Availability,,,,,x
SC-12-02,SC-12(2),Cryptographic Key Establishment and Management | Symmetric Keys,,,,,
SC-12-03,SC-12(3),Cryptographic Key Establishment and Management | Asymmetric Keys,,,,,
SC-12-04,SC-12(4),Cryptographic Key Establishment and Management | PKI Certificates,W: Incorporated into SC-12(3).,,,,
SC-12-05,SC-12(5),Cryptographic Key Establishment and Management | PKI Certificates / Hardware Tokens,W: Incorporated into SC-12(3).,,,,
SC-12-06,SC-12(6),Cryptographic Key Establishment and Management | Physical Control of Keys,,,,,
SC-13-00,SC-13,Cryptographic Protection,,,x,x,x
SC-13-01,SC-13(1),Cryptographic Protection | FIPS-validated Cryptography,W: Incorporated into SC-13.,,,,
SC-13-02,SC-13(2),Cryptographic Protection | NSA-approved Cryptography,W: Incorporated into SC-13.,,,,
SC-13-03,SC-13(3),Cryptographic Protection | Individuals Without Formal Access Approvals,W: Incorporated into SC-13.,,,,
SC-13-04,SC-13(4),Cryptographic Protection | Digital Signatures,W: Incorporated into SC-13.,,,,
SC-14-00,SC-14,Public Access Protections,"W: Incorporated into AC-2, AC-3, AC-5, SI-3, SI-4, SI-5, SI-7, and SI-10.",,,,
SC-15-00,SC-15,Collaborative Computing Devices and Applications,,,x,x,x
SC-15-01,SC-15(1),Collaborative Computing Devices and Applications | Physical or Logical Disconnect,,,,,
SC-15-02,SC-15(2),Collaborative Computing Devices and Applications | Blocking Inbound and Outbound Communications Traffic,W: Incorporated into SC-7.,,,,
SC-15-03,SC-15(3),Collaborative Computing Devices and Applications | Disabling and Removal in Secure Work Areas,,,,,
SC-15-04,SC-15(4),Collaborative Computing Devices and Applications | Explicitly Indicate Current Participants,,,,,
SC-16-00,SC-16,Transmission of Security and Privacy Attributes,,,,,
SC-16-01,SC-16(1),Transmission of Security and Privacy Attributes | Integrity Verification,,,,,
SC-16-02,SC-16(2),Transmission of Security and Privacy Attributes | Anti-spoofing Mechanisms,,,,,
SC-16-03,SC-16(3),Transmission of Security and Privacy Attributes | Cryptographic Binding,,,,,
SC-17-00,SC-17,Public Key Infrastructure Certificates,,,,x,x
SC-18-00,SC-18,Mobile Code,,,,x,x
SC-18-01,SC-18(1),Mobile Code | Identify Unacceptable Code and Take Corrective Actions,,,,,
SC-18-02,SC-18(2),"Mobile Code | Acquisition, Development, and Use",,,,,
SC-18-03,SC-18(3),Mobile Code | Prevent Downloading and Execution,,,,,
SC-18-04,SC-18(4),Mobile Code | Prevent Automatic Execution,,,,,
SC-18-05,SC-18(5),Mobile Code | Allow Execution Only in Confined Environments,,,,,
SC-19-00,SC-19,Voice Over Internet Protocol,W: Technology-specific; addressed as any other technology or protocol.,,,,
SC-20-00,SC-20,Secure Name/address Resolution Service (authoritative Source),,,x,x,x
SC-20-01,SC-20(1),Secure Name/address Resolution Service (authoritative Source) | Child Subspaces,W: Incorporated into SC-20.,,,,
SC-20-02,SC-20(2),Secure Name/address Resolution Service (authoritative Source) | Data Origin and Integrity,,,,,
